Led,React (ms)
1,258
1,201
1,311
1,200
1,220
1,206
1,229
1,329
1,205
1,217
1,180
1,216
1,193
1,355
1,183
1,208
1,205
1,184
1,207
1,197
1,177
1,160
1,181
1,174
1,184
1,205
1,271
1,256
1,195
1,181
1,227
1,298
1,170
1,348
1,208
1,205
1,169
1,231
1,254
1,364
1,220
1,196
1,224
1,170
1,185
1,147
1,254
1,182
1,179
1,193
1,318
1,192
1,51
1,181
1,173
1,219
1,207
1,323
1,189
1,174
1,363
1,204
1,226
1,324
1,215
1,274
1,152
1,238
1,173
1,245
1,211
1,213
1,253
1,200
1,296
1,249
1,241
1,144
1,175
1,171
1,188
1,341
1,253
1,272
1,156
1,345
1,164
1,223
1,218
1,223
1,188
1,187
1,210
1,294
1,194
1,255
1,319
1,203
1,204
1,187
